Capability,Competency,Type,Name,Description,,
Product Management,Market Analysis,Skill,Competitive analysis,"The ability to identify and evaluate competitors to understand their strengths, weaknesses, and market position.",,
Product Management,Market Analysis,Skill,User research,"The practice of understanding user behaviors, needs, and motivations through observation techniques, task analysis, and other feedback methodologies.",,
Product Management,Market Analysis,Skill,Data analysis,"The process of inspecting, cleansing, transforming, and modeling data with the goal of discovering useful information and supporting decision-making.",,
Product Management,Market Analysis,Skill,Market sizing,The process of estimating the potential number of customers or total potential revenue for a product or service.,,
Product Management,Market Analysis,Skill,SWOT Analysis,"A strategic planning technique used to identify and analyze the Strengths, Weaknesses, Opportunities, and Threats related to a business venture or project.",,
Product Management,Market Analysis,Skill,A/B Test Interpretation,The ability to analyze the results of a controlled experiment comparing two versions of a webpage or app to determine which one performs better.,,
Product Management,Market Analysis,Skill,Funnel Analysis,"The process of mapping and analyzing the series of steps a user takes to reach a specific goal, such as making a purchase.",,
Product Management,Market Analysis,Skill,Survey Design and Analysis,The skill of creating effective surveys to gather user feedback and analyzing the resulting data to extract meaningful insights.,,
Product Management,Market Analysis,Skill,Customer Segmentation,The practice of dividing a customer base into groups of individuals that are similar in specific ways relevant to marketing.,,
Product Management,Market Analysis,Skill,Total Addressable Market (TAM) Analysis,The skill of calculating the total revenue opportunity that is available for a product or service if 100% market share is achieved.,,
Product Management,Market Analysis,Behavior,Data-driven decision making,The practice of making organizational decisions based on actual data rather than just intuition or observation alone.,,
Product Management,Market Analysis,Behavior,Customer empathy,"The ability to understand and share the feelings, thoughts, and experiences of customers from their perspective.",,
Product Management,Market Analysis,Behavior,Curiosity,"A strong desire to learn or know something, driving investigation into market trends, customer needs, and new possibilities.",,
Product Management,Market Analysis,Behavior,Objectivity,"The ability to make fair, impartial judgments that are not influenced by personal feelings or opinions when analyzing data.",,
Product Management,Market Analysis,Behavior,Synthesizing Information,"The ability to combine multiple sources of information to form a coherent, evidence-based understanding of a market or problem.",,
Product Management,Stakeholder Communication,Skill,Presentation skills,"The ability to effectively deliver information and ideas to an audience in a clear, compelling, and engaging manner.",,
Product Management,Stakeholder Communication,Skill,Active listening,The practice of fully concentrating on what is being said rather than just passively 'hearing' the message of the speaker.,,
Product Management,Stakeholder Communication,Skill,Negotiation,"The skill of discussing and reaching an agreement in a professional manner, balancing the needs of various parties.",,
Product Management,Stakeholder Communication,Skill,Written communication,"The ability to convey information clearly and effectively through written formats such as emails, documents, and reports.",,
Product Management,Stakeholder Communication,Skill,Executive Briefing,The skill of concisely summarizing complex information for senior leadership to support strategic decision-making.,,
Product Management,Stakeholder Communication,Skill,Conflict De-escalation,The ability to reduce tension and resolve disagreements between stakeholders in a calm and constructive manner.,,
Product Management,Stakeholder Communication,Skill,Facilitating meetings,"The skill of leading meetings to ensure they are productive, stay on topic, and achieve their stated objectives.",,
Product Management,Stakeholder Communication,Skill,Storytelling with data,The ability to craft a compelling narrative around data insights to effectively communicate their importance and drive action.,,
Product Management,Stakeholder Communication,Behavior,Transparency,The practice of sharing information openly and honestly with stakeholders to build trust and foster alignment.,,
Product Management,Stakeholder Communication,Behavior,Influence without authority,The ability to guide and persuade others to adopt ideas or take action without relying on formal hierarchical power.,,
Product Management,Stakeholder Communication,Behavior,Collaboration,The behavior of working effectively with others across different teams and disciplines to achieve a common goal.,,
Product Management,Stakeholder Communication,Behavior,Building rapport,The ability to establish a positive connection and mutual understanding with stakeholders to facilitate smoother interactions.,,
Product Management,Stakeholder Communication,Behavior,Empathy,"The capacity to understand and share the feelings of another, which is crucial for effective stakeholder management.",,
Product Management,Product Lifecycle Management,Skill,Writing product requirements,"The process of creating clear, concise, and unambiguous documentation that outlines what a product should do.",,
Product Management,Product Lifecycle Management,Skill,Backlog grooming,"The ongoing process of reviewing and prioritizing the product backlog to ensure it contains relevant, detailed, and estimated items.",,
Product Management,Product Lifecycle Management,Skill,A/B testing,"The method of comparing two versions of a webpage, app, or feature against each other to determine which one performs better.",,
Product Management,Product Lifecycle Management,Skill,Creating roadmaps,"The skill of developing a high-level, strategic document that outlines the vision, direction, priorities, and progress of a product over time.",,
Product Management,Product Lifecycle Management,Skill,Prioritization,"The critical skill of ranking features, bugs, and other work in order of importance to deliver maximum value.",,
Product Management,Product Lifecycle Management,Skill,Release planning,"The process of defining the scope and timeline for a product release, including which features will be included.",,
Product Management,Product Lifecycle Management,Skill,Feature flagging,"The technique of enabling or disabling functionality remotely without deploying new code, allowing for controlled feature rollouts.",,
Product Management,Product Lifecycle Management,Skill,Sprint Planning,The collaborative process of selecting high-priority work from the product backlog to be completed within a specific sprint.,,
Product Management,Product Lifecycle Management,Skill,User Story Mapping,A visual exercise of ordering user stories to create a more holistic view of a product's user journey.,,
Product Management,Product Lifecycle Management,Behavior,Adaptability,"The ability to adjust plans and priorities in response to new information, changing market conditions, or stakeholder feedback.",,
Product Management,Product Lifecycle Management,Behavior,Ownership,"Taking full responsibility for the success of a product, from conception through its entire lifecycle, and driving it forward proactively.",,
Product Management,Product Lifecycle Management,Behavior,Proactiveness,"The tendency to take initiative and act in anticipation of future problems, needs, or changes in the product lifecycle.",,
Product Management,Product Lifecycle Management,Behavior,Decisiveness,"The ability to make timely and effective decisions about the product, even with incomplete information.",,
Product Management,Product Strategy,Skill,Vision setting,"The ability to define a clear, compelling, and long-term vision for a product that inspires and aligns the team.",,
Product Management,Product Strategy,Skill,Goal setting (OKRs),The practice of defining ambitious goals and measurable results using the Objectives and Key Results framework.,,
Product Management,Product Strategy,Skill,Business model canvas,"A strategic management tool for developing new or documenting existing business models, providing a holistic view of the business.",,
Product Management,Product Strategy,Skill,Go-to-market planning,The process of creating a comprehensive action plan that specifies how to launch a product and achieve market success.,,
Product Management,Product Strategy,Skill,Pricing strategy,"The method of determining the optimal price for a product, considering market conditions, perceived value, and business objectives.",,
Product Management,Product Strategy,Skill,Business case development,"The process of creating a justified proposal to secure funding or approval for a product initiative by outlining its costs, benefits, and risks.",,
Product Management,Product Strategy,Skill,Product Positioning,The process of defining how a product fills a particular consumer need in a way that its competitors don't.,,
Product Management,Product Strategy,Skill,Portfolio Management,The centralized management of one or more product portfolios to achieve strategic objectives.,,
Product Management,Product Strategy,Behavior,Strategic thinking,"The ability to see the bigger picture, understand market trends, and make decisions that align with long-term business goals.",,
Product Management,Product Strategy,Behavior,Long-term perspective,The practice of prioritizing long-term value and sustainability over short-term gains when making strategic product decisions.,,
Product Management,Product Strategy,Behavior,Decisiveness,"The ability to make confident, high-impact strategic decisions in a timely manner to guide the product's direction.",,
Product Management,Product Strategy,Behavior,Commercial awareness,"A deep understanding of the marketplace, business goals, and financial drivers that inform successful product strategy.",,
Product Management,Technical Acumen,Skill,Understanding System Architecture,"The ability to comprehend the overall structure of a software system, including its components, their relationships, and the principles governing its design.",,
Product Management,Technical Acumen,Skill,API Knowledge,Understanding how Application Programming Interfaces (APIs) work and how they enable different software systems to communicate.,,
Product Management,Technical Acumen,Skill,Database Fundamentals,"A basic understanding of how databases work, including data models, queries, and common database technologies.",,
Product Management,Technical Acumen,Skill,Reading Technical Documentation,"The ability to read and understand technical specifications, API documentation, and other engineering documents.",,
Product Management,Technical Acumen,Skill,Understanding front-end/back-end technologies,Familiarity with the concepts and technologies related to both client-side (front-end) and server-side (back-end) development.,,
Product Management,Technical Acumen,Skill,Agile Software Development Methodologies,Knowledge of iterative development frameworks like Scrum and Kanban used by engineering teams.,,
Product Management,Technical Acumen,Behavior,Bridging technical and business needs,"The ability to translate business requirements into technical concepts for engineers, and technical constraints into business implications for stakeholders.",,
Product Management,Technical Acumen,Behavior,Respect for engineering constraints,Appreciating the technical challenges and limitations that engineering teams face and incorporating that understanding into product planning.,,
Product Management,Technical Acumen,Behavior,Intellectual curiosity for technology,A genuine interest in learning about new technologies and understanding how they can be applied to solve customer problems.,,
Software Engineering,System Design,Skill,Architectural patterns (Microservices/Monolith),"Knowledge of established solutions for common software architecture problems, such as monolithic versus microservices-based designs.",,
Software Engineering,System Design,Skill,Database design,"The skill of designing the structure of a database, including schemas, tables, and relationships, to efficiently store and retrieve data.",,
Software Engineering,System Design,Skill,API design (REST, GraphQL),"The ability to design clear, consistent, and easy-to-use Application Programming Interfaces (APIs).",
Software Engineering,System Design,Skill,Scalability planning,"The practice of designing systems that can handle a growing amount of work by enabling them to accommodate more users, data, or transactions.",,
Software Engineering,System Design,Skill,Load Balancing Strategies,Knowledge of techniques for distributing network traffic across multiple servers to ensure no single server becomes overwhelmed.,,
Software Engineering,System Design,Skill,Caching Mechanisms (Redis, Memcached),The ability to implement systems for temporarily storing data to reduce latency and database load.,
Software Engineering,System Design,Skill,Message Queues (Kafka, RabbitMQ),Understanding of systems that enable asynchronous communication between different parts of a software application.,
Software Engineering,System Design,Skill,Distributed Systems Design,The principles and practices for designing software systems that are spread across multiple physical or virtual machines.,,
Software Engineering,System Design,Skill,Service-Oriented Architecture (SOA),"An architectural style that structures an application as a collection of loosely coupled, interoperating services.",,
Software Engineering,System Design,Skill,Data Modeling,"The process of creating a conceptual representation of data objects, the associations between them, and the rules.",,
Software Engineering,System Design,Behavior,Abstract thinking,"The ability to think about concepts and ideas at a high level, separating them from specific implementations.",,
Software Engineering,System Design,Behavior,Problem decomposition,"The skill of breaking down a complex problem or system into smaller, more manageable parts.",,
Software Engineering,System Design,Behavior,Consideration of trade-offs,The practice of evaluating and making decisions based on the relative advantages and disadvantages of different technical approaches.,,
Software Engineering,System Design,Behavior,Pragmatism,An approach to problem-solving that emphasizes practical solutions and outcomes over theoretical purity.,,
Software Engineering,System Design,Behavior,Forward-thinking,The ability to anticipate future technical needs and design systems that are flexible and adaptable to change.,,
Software Engineering,Coding & Implementation,Skill,Proficiency in Python,"The ability to write clean, efficient, and maintainable code using the Python programming language.",,
Software Engineering,Coding & Implementation,Skill,Proficiency in JavaScript/TypeScript,"The ability to write code for web front-ends and back-ends using JavaScript and its typed superset, TypeScript.",,
Software Engineering,Coding & Implementation,Skill,Proficiency in Java,"The ability to develop robust, object-oriented applications using the Java programming language and its ecosystem.",,
Software Engineering,Coding & Implementation,Skill,Proficiency in C++/C#,The ability to write high-performance applications using C++ or develop a wide range of applications on the .NET framework with C#.,,
Software Engineering,Coding & Implementation,Skill,Proficiency in Go,"The ability to build simple, reliable, and efficient software using the Go programming language.",,
Software Engineering,Coding &implementation,Skill,Proficiency in Rust,"The ability to write memory-safe, concurrent, and high-performance systems-level software using the Rust programming language.",,
Software Engineering,Coding & Implementation,Skill,Data structures and algorithms,A fundamental understanding of common data structures and the algorithms used to manipulate them efficiently.,,
Software Engineering,Coding & Implementation,Skill,Clean code principles,"The practice of writing code that is readable, understandable, and easy to maintain by other developers.",,
Software Engineering,Coding & Implementation,Skill,Code optimization,"The process of modifying code to improve its performance, typically in terms of speed or memory usage.",,
Software Engineering,Coding & Implementation,Skill,Refactoring,The process of restructuring existing computer code—changing the factoring—without changing its external behavior.,,
Software Engineering,Coding & Implementation,Skill,Test-Driven Development (TDD),A software development process where tests are written for a new feature before the feature itself is implemented.,,
Software Engineering,Coding & Implementation,Skill,SOLID Principles,"A set of five design principles intended to make software designs more understandable, flexible, and maintainable.",,
Software Engineering,Coding & Implementation,Skill,Object-Oriented Programming (OOP),"A programming paradigm based on the concept of 'objects', which can contain data and code.",,
Software Engineering,Coding & Implementation,Skill,Functional Programming,A programming paradigm that treats computation as the evaluation of mathematical functions and avoids changing-state and mutable data.,,
Software Engineering,Coding & Implementation,Behavior,Attention to detail,The ability to achieve thoroughness and accuracy when accomplishing a coding task.,,
Software Engineering,Coding & Implementation,Behavior,Persistence,The quality of continuing to work on a difficult coding problem until a solution is found.,,
Software Engineering,Coding & Implementation,Behavior,Readability focus,A commitment to writing code that is easy for other humans to read and understand.,,
Software Engineering,Coding & Implementation,Behavior,Continuous learning,"A proactive approach to staying up-to-date with new technologies, languages, and best practices in software development.",,
Software Engineering,Coding & Implementation,Behavior,Problem-solving mindset,"A methodical and creative approach to identifying, analyzing, and solving technical challenges.",,
Software Engineering,Front-End Development,Skill,HTML5,Proficiency in using the latest standard of HyperText Markup Language for structuring web content.,,
Software Engineering,Front-End Development,Skill,CSS3 (Flexbox, Grid),"Mastery of the latest Cascading Style Sheets standard, including modern layout systems like Flexbox and Grid.",
Software Engineering,Front-End Development,Skill,JavaScript (ES6+),"Advanced proficiency in the JavaScript language, including modern features introduced in ES6 and beyond.",,
Software Engineering,Front-End Development,Skill,React.js,The ability to build dynamic user interfaces using the React.js library.,,
Software Engineering,Front-End Development,Skill,Angular,"The ability to develop complex, single-page applications using the Angular framework.",,
Software Engineering,Front-End Development,Skill,Vue.js,The ability to create interactive and performant web interfaces using the Vue.js framework.,,
Software Engineering,Front-End Development,Skill,State Management (Redux, MobX, Vuex),Knowledge of libraries for managing the state of a complex application in a predictable way.
Software Engineering,Front-End Development,Skill,Front-End Build Tools (Webpack, Vite),Familiarity with tools used to bundle and optimize front-end assets for deployment.,
Software Engineering,Front-End Development,Skill,CSS Preprocessors (SASS, LESS),The ability to use CSS extension languages to write more maintainable and powerful styles.,
Software Engineering,Front-End Development,Skill,Responsive Web Design,The skill of creating web pages that look good and function well on a variety of devices and screen sizes.,,
Software Engineering,Front-End Development,Skill,Web Accessibility (WAI-ARIA),"The practice of making websites usable by people with disabilities, following established standards.",,
Software Engineering,Front-End Development,Skill,Browser DevTools,Proficiency in using the built-in developer tools in web browsers for debugging and performance analysis.,,
Software Engineering,Front-End Development,Skill,Performance Optimization (Lighthouse),"The skill of using tools like Lighthouse to audit and improve the performance, quality, and correctness of web pages.",,
Software Engineering,Front-End Development,Behavior,User-centric mindset,A focus on creating a positive and intuitive experience for the end-user when building interfaces.,,
Software Engineering,Front-End Development,Behavior,Pixel-perfect attention to detail,A commitment to faithfully translating design mockups into code with a high degree of visual accuracy.,,
Software Engineering,Back-End Development,Skill,Node.js (Express, Koa),"The ability to build scalable, server-side applications using the Node.js runtime and its associated frameworks.",
Software Engineering,Back-End Development,Skill,Python (Django, Flask, FastAPI),The ability to develop robust web back-ends using popular Python frameworks.
Software Engineering,Back-End Development,Skill,Java (Spring, Spring Boot),"The ability to create enterprise-level, high-performance back-end services using the Spring framework.",
Software Engineering,Back-End Development,Skill,C# (.NET, ASP.NET),The skill of building web services and applications on the Microsoft .NET platform using C#.,
Software Engineering,Back-End Development,Skill,Ruby (Ruby on Rails),The ability to rapidly develop web applications using the Ruby on Rails convention-over-configuration framework.,,
Software Engineering,Back-End Development,Skill,PHP (Laravel, Symfony),The ability to create web applications and services using the PHP language and its modern frameworks.,
Software Engineering,Back-End Development,Skill,RESTful API Design,The skill of designing APIs that follow the principles of Representational State Transfer (REST).,,
Software Engineering,Back-End Development,Skill,GraphQL API Design,The ability to design and build flexible and efficient APIs using the GraphQL query language.,,
Software Engineering,Back-End Development,Skill,SQL Database Management (PostgreSQL, MySQL),Proficiency in managing and querying relational databases using Structured Query Language (SQL).,
Software Engineering,Back-End Development,Skill,NoSQL Database Management (MongoDB, DynamoDB),Proficiency in managing and querying non-relational databases designed for flexible data models.,
Software Engineering,Back-End Development,Skill,Authentication & Authorization (OAuth, JWT),The skill of implementing secure systems for verifying user identity and controlling access to resources.,
Software Engineering,Back-End Development,Skill,Object-Relational Mapping (ORM),The ability to use libraries that automate the transfer of data between object-oriented programs and relational databases.,,
Software Engineering,Back-End Development,Behavior,Scalability focus,A consistent consideration for how the back-end system will perform under increasing load and data volume.,,
Software Engineering,Back-End Development,Behavior,Security-first mindset,The practice of prioritizing security considerations at every stage of the back-end development lifecycle.,,
Software Engineering,Mobile Development,Skill,Swift (for iOS),The ability to develop native applications for Apple platforms using the Swift programming language.,,
Software Engineering,Mobile Development,Skill,Kotlin (for Android),The ability to develop native applications for the Android platform using the Kotlin programming language.,,
Software Engineering,Mobile Development,Skill,React Native,The skill of building cross-platform mobile applications using the React Native framework.,,
Software Engineering,Mobile Development,Skill,Flutter,"The skill of developing cross-platform applications for mobile, web, and desktop from a single codebase using Google's Flutter framework.",,
Software Engineering,Mobile Development,Skill,Objective-C (Legacy iOS),The ability to maintain and extend older iOS applications written in the Objective-C language.,,
Software Engineering,Mobile Development,Skill,Java (Legacy Android),The ability to maintain and extend older Android applications written in the Java language.,,
Software Engineering,Mobile Development,Skill,Xcode IDE,"Proficiency in using Apple's integrated development environment for building software for macOS, iOS, iPadOS, watchOS, and tvOS.",,
Software Engineering,Mobile Development,Skill,Android Studio IDE,Proficiency in using Google's official integrated development environment for Android app development.,,
Software Engineering,Mobile Development,Skill,Mobile UI/UX Principles,An understanding of the design principles and user interaction patterns specific to mobile devices.,,
Software Engineering,Mobile Development,Skill,App Store Submission Process,Familiarity with the procedures and requirements for successfully publishing an application to the Apple App Store and Google Play Store.,,
Software Engineering,Mobile Development,Skill,Mobile Performance Optimization,"The skill of optimizing mobile applications for speed, responsiveness, and efficient use of battery and memory.",,
Software Engineering,Mobile Development,Behavior,Adaptability to different screen sizes,The practice of designing and developing mobile interfaces that work effectively across a wide range of screen dimensions and resolutions.,,
Software Engineering,Mobile Development,Behavior,Focus on user experience,"A deep commitment to creating mobile applications that are not only functional but also intuitive, engaging, and easy to use.",,
Software Engineering,Testing & Debugging,Skill,Unit testing,"The practice of writing small, isolated tests for individual functions or components of an application.",,
Software Engineering,Testing & Debugging,Skill,Integration testing,The phase in software testing in which individual software modules are combined and tested as a group.,,
Software Engineering,Testing & Debugging,Skill,Debugging tools (debuggers, profilers),"Proficiency in using software tools to identify, analyze, and fix bugs and performance issues in code.",
Software Engineering,Testing & Debugging,Skill,Root cause analysis,The systematic process of identifying the fundamental cause of a problem or bug to prevent its recurrence.,,
Software Engineering,Testing & Debugging,Skill,Performance testing,"The process of determining the speed, responsiveness, and stability of a computer, network, software program, or device under a workload.",,
Software Engineering,Testing & Debugging,Skill,End-to-end testing,A methodology used to test whether the flow of an application is performing as designed from start to finish.,,
Software Engineering,Testing & Debugging,Skill,Automated testing frameworks (Selenium, Cypress, Jest),The ability to use software frameworks to automate the execution of tests and the reporting of their results.
Software Engineering,Testing & Debugging,Skill,Mutation Testing,"A type of software testing where small, deliberate changes (mutations) are introduced to the source code to check the quality of tests.",,
Software Engineering,Testing & Debugging,Skill,Load Testing (JMeter, Gatling),The process of simulating real-world user load on any application or website to determine its behavior under normal and peak conditions.,
Software Engineering,Testing & Debugging,Skill,Security Testing (Penetration Testing),The practice of actively trying to exploit vulnerabilities in a system to identify and fix security weaknesses.,,
Software Engineering,Testing & Debugging,Behavior,Systematic approach,"Applying a logical, methodical process to testing and debugging to ensure comprehensive coverage and efficient problem-solving.",,
Software Engineering,Testing & Debugging,Behavior,Patience,The ability to remain calm and persistent when tracking down complex and elusive bugs.,,
Software Engineering,Testing & Debugging,Behavior,Quality mindset,"A deep-seated commitment to delivering high-quality, reliable software by embedding quality practices throughout the development process.",,
Software Engineering,Testing & Debugging,Behavior,Thoroughness,The practice of being meticulous and exhaustive in testing scenarios and investigating issues to ensure all edge cases are considered.,,
Software Engineering,DevOps & Infrastructure,Skill,Docker,"The ability to use the Docker platform to develop, ship, and run applications inside lightweight, portable containers.",,
Software Engineering,DevOps & Infrastructure,Skill,Kubernetes,"The ability to use the Kubernetes platform to automate the deployment, scaling, and management of containerized applications.",,
Software Engineering,DevOps & Infrastructure,Skill,Infrastructure as Code (Terraform, Ansible),"The practice of managing and provisioning infrastructure through machine-readable definition files, rather than through physical hardware configuration or interactive configuration tools.",
Software Engineering,DevOps & Infrastructure,Skill,CI/CD pipelines (Jenkins, GitLab CI, GitHub Actions),"The skill of creating automated pipelines for Continuous Integration and Continuous Deployment to build, test, and deploy code changes efficiently."
